surah_id,surah_myanmar_name
104,"‘စိတ်ဝမ်းကွဲစေသူ’ ကဏ္ဍ (၁၀၄)"
105,"‘အတွေးအခေါ် နိမ့်ကျသူ’ ကဏ္ဍ (၁၀၅)"
106,"‘စီးပွားရေးတွင် လက်ဦးမှုရရှိသောအုပ်စု’ ကဏ္ဍ (၁၀၆)"
107,"‘တန်းတူညီမျှ ရပိုင်ခွင့်’ ကဏ္ဍ (၁၀၇)"
108,"‘ကောင်းခြင်းများ စုစည်းနေမှု(ဝါ)ကုရ်အာန်’ ကဏ္ဍ (၁၀၈)"
109,"‘လုံခြုံမှုကို သွေဖည်ဆန့်ကျင်သူများ’ ကဏ္ဍ (၁၀၉)"
110,"‘ကူညီစောင်မမှု’ ကဏ္ဍ (၁၁၀)"
111,"‘မီးလျှံ’ ကဏ္ဍ (၁၁၁)"
112,"‘အချုပ်အနှောင်ကင်းသောအရှင်’ ကဏ္ဍ (၁၁၂)"
113,"‘အောင်မြင်မှု၏ အသီးအပွင့်တို့ ဖြစ်ထွန်းလာခြင်း’ ကဏ္ဍ (၁၁၃)"
114,"‘လူ့အဖွဲ့အစည်း’ ကဏ္ဍ (၁၁၄)"
